frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
102.3,WFXN-FM,GALION,OH,NDIR,3.5,40.75727777777778,82.78961111111111,A,THE FOX,131.0,iHeartMedia,Classic Rock,
99.5,WGAR-FM,CLEVELAND,OH,OTS,50.0,41.371694444444444,81.71761111111111,B,,152.0,iHeartMedia,Country,Cleveland
90.9,WGBE,BRYAN,OH,NDIR,0.85,41.47975,84.59716666666667,A,,120.0,PUBLIC BROADCASTING FOUNDATION OF NW OHIO,News/Talk/Classical,
91.9,WGDE,DEFIANCE,OH,DRL,6.0,41.294777777777774,84.38994444444445,A,,93.0,PUBLIC BROADCASTING FOUNDATION OF NW OHIO,News/Classical,
97.7,WGGN,CASTALIA,OH,NDIR,0.64,41.39619444444445,82.79286111111111,A,TODAY'S CHRISTIAN MUSIC,221.0,"CHRISTIAN FAITH BROADCAST, INC.",Contemporary Christian/Religious Teaching,
97.9,WGJM-LP,ENGLEWOOD,OH,NDIR,0.1,39.88475,84.31688888888888,LP100,,29.009762,"M&M COMMUNITY DEVELOPMENT INC., DAYTON, OH BRANCH",Urban Contemporary,Dayton
90.7,WGLE,LIMA,OH,DRL,50.0,40.65113888888889,84.10919444444444,B,,139.0,Public Broadcasting Foundation of NW Ohio,News/Talk/Classical,Lima-Van Wert
94.9,WGNH,SOUTH WEBSTER,OH,NDIR,2.2,38.70841666666667,82.67072222222222,A,KING OF KINGS RADIO,140.0,SOMERSET EDUCATIONAL BROADCASTING FOUNDATION,Religious Teaching/Southern Gospel,Huntington-Ashland
105.5,WGOJ,CONNEAUT,OH,DRL,6.0,41.861694444444446,80.51672222222223,A,GRACE RADIO,90.0,"BIBLE BROADCASTING, INC.",Religious Teaching,Erie
91.9,WGRN-LP,COLUMBUS,OH,NDIR,0.056,39.916666666666664,82.98333333333333,LP100,,40.0,Central Ohio Green Education Fund,Variety,"Columbus, OH"
103.5,WGRR,HAMILTON,OH,DRL,11.0,39.20033333333333,84.52269444444444,B,CINCINNATI'S GREATEST HITS,316.0,Cumulus Media,Classic Hits,Cincinnati
91.3,WGTE-FM,TOLEDO,OH,OTS,13.5,41.65752777777777,83.43186111111112,B,,289.0,PUBLIC BROADCASTING FOUNDATION OF NW OHIO,News/Talk/Classical,Toledo
92.9,WGTZ,EATON,OH,OTS,40.0,39.83616666666667,84.40438888888889,B,92.9 JACK-FM,168.0,Alpha Media Licensee LLC,Adult Hits,Dayton
90.9,WGUC,CINCINNATI,OH,NDIR,18.5,39.12502777777778,84.49888888888889,B,,209.2,"CINCINNATI PUBLIC RADIO, INC.",Classical,Cincinnati
94.1,WHBC-FM,CANTON,OH,OTS,45.0,40.89811111111111,81.31841666666666,B,MIX 94.1,157.0,ALPHA MEDIA LICENSEE LLC,Hot AC,Canton
88.9,WHEI,TIFFIN,OH,NDIR,0.1,41.116416666666666,83.16741666666667,A,RISE FM,18.0,SOARING EAGLE PROMOTIONS INC.,Contemporary Christian,
95.7,WHIO-FM,PLEASANT HILL,OH,NDIR,50.0,40.217555555555556,84.29355555555556,B,AM1290 AND NEWS 95.7 WHIO,145.0,"CMG Radio Operating Company, LLC",News/Talk,
92.7,WHIZ-FM,SOUTH ZANESVILLE,OH,NDIR,16.0,39.7145,82.06930555555556,B1,Z-92,124.0,"Marquee Broadcasting Ohio, Inc.",Contemporary Hit Radio,
